Kategorie: Alle Kategorien

Woche,binge eating: (Vereinigte Staaten)
2020-04-05,63
2020-04-12,65
2020-04-19,66
2020-04-26,66
2020-05-03,63
2020-05-10,62
2020-05-17,58
2020-05-24,50
2020-05-31,40
2020-06-07,50
2020-06-14,48
2020-06-21,52
2020-06-28,49
2020-07-05,48
2020-07-12,50
2020-07-19,52
2020-07-26,52
2020-08-02,48
2020-08-09,49
2020-08-16,52
2020-08-23,47
2020-08-30,48
2020-09-06,49
2020-09-13,51
2020-09-20,59
2020-09-27,59
2020-10-04,56
2020-10-11,57
2020-10-18,60
2020-10-25,56
2020-11-01,51
2020-11-08,59
2020-11-15,65
2020-11-22,55
2020-11-29,63
2020-12-06,61
2020-12-13,56
2020-12-20,44
2020-12-27,49
2021-01-03,52
2021-01-10,54
2021-01-17,52
2021-01-24,55
2021-01-31,55
2021-02-07,59
2021-02-14,64
2021-02-21,78
2021-02-28,70
2021-03-07,74
2021-03-14,68
2021-03-21,73
2021-03-28,77
2021-04-04,78
2021-04-11,75
2021-04-18,73
2021-04-25,69
2021-05-02,71
2021-05-09,72
2021-05-16,64
2021-05-23,55
2021-05-30,57
2021-06-06,57
2021-06-13,59
2021-06-20,77
2021-06-27,58
2021-07-04,61
2021-07-11,62
2021-07-18,62
2021-07-25,59
2021-08-01,61
2021-08-08,51
2021-08-15,52
2021-08-22,54
2021-08-29,51
2021-09-05,55
2021-09-12,54
2021-09-19,54
2021-09-26,57
2021-10-03,62
2021-10-10,66
2021-10-17,62
2021-10-24,63
2021-10-31,68
2021-11-07,77
2021-11-14,79
2021-11-21,56
2021-11-28,63
2021-12-05,65
2021-12-12,60
2021-12-19,48
2021-12-26,53
2022-01-02,60
2022-01-09,58
2022-01-16,55
2022-01-23,64
2022-01-30,62
2022-02-06,67
2022-02-13,79
2022-02-20,76
2022-02-27,74
2022-03-06,79
2022-03-13,80
2022-03-20,90
2022-03-27,93
2022-04-03,100
2022-04-10,88
2022-04-17,93
2022-04-24,94
2022-05-01,86
2022-05-08,74
2022-05-15,77
2022-05-22,68
2022-05-29,68
2022-06-05,66
2022-06-12,63
2022-06-19,62
2022-06-26,56
2022-07-03,61
2022-07-10,66
2022-07-17,60
2022-07-24,73
2022-07-31,58
2022-08-07,57
2022-08-14,57
2022-08-21,57
2022-08-28,52
2022-09-04,55
2022-09-11,64
2022-09-18,69
2022-09-25,67
2022-10-02,67
2022-10-09,70
2022-10-16,72
2022-10-23,72
2022-10-30,74
2022-11-06,73
2022-11-13,76
2022-11-20,56
2022-11-27,70
2022-12-04,76
2022-12-11,67
2022-12-18,51
2022-12-25,49
2023-01-01,54
2023-01-08,65
2023-01-15,62
2023-01-22,67
2023-01-29,72
2023-02-05,80
2023-02-12,76
2023-02-19,77
2023-02-26,92
2023-03-05,90
2023-03-12,83
2023-03-19,80
2023-03-26,84
2023-04-02,75
2023-04-09,79
2023-04-16,82
2023-04-23,77
2023-04-30,74
2023-05-07,70
2023-05-14,65
2023-05-21,66
2023-05-28,69
2023-06-04,66
2023-06-11,64
2023-06-18,58
2023-06-25,58
2023-07-02,62
2023-07-09,64
2023-07-16,60
2023-07-23,58
2023-07-30,55
2023-08-06,53
2023-08-13,51
2023-08-20,49
2023-08-27,51
2023-09-03,57
2023-09-10,59
2023-09-17,69
2023-09-24,66
2023-10-01,68
2023-10-08,67
2023-10-15,74
2023-10-22,80
2023-10-29,79
2023-11-05,77
2023-11-12,79
2023-11-19,57
2023-11-26,71
2023-12-03,69
2023-12-10,65
2023-12-17,54
2023-12-24,48
2023-12-31,50
2024-01-07,59
2024-01-14,55
2024-01-21,61
2024-01-28,69
2024-02-04,73
2024-02-11,75
2024-02-18,74
2024-02-25,79
2024-03-03,80
2024-03-10,69
2024-03-17,80
2024-03-24,80
2024-03-31,74
2024-04-07,77
2024-04-14,81
2024-04-21,82
2024-04-28,73
2024-05-05,72
2024-05-12,64
2024-05-19,62
2024-05-26,55
2024-06-02,60
2024-06-09,55
2024-06-16,51
2024-06-23,58
2024-06-30,51
2024-07-07,54
2024-07-14,50
2024-07-21,59
2024-07-28,54
2024-08-04,49
2024-08-11,48
2024-08-18,52
2024-08-25,47
2024-09-01,50
2024-09-08,51
2024-09-15,56
2024-09-22,60
2024-09-29,62
2024-10-06,65
2024-10-13,61
2024-10-20,74
2024-10-27,78
2024-11-03,68
2024-11-10,62
2024-11-17,75
2024-11-24,49
2024-12-01,71
2024-12-08,59
2024-12-15,58
2024-12-22,43
2024-12-29,50
2025-01-05,53
2025-01-12,58
2025-01-19,53
2025-01-26,59
2025-02-02,70
2025-02-09,69
2025-02-16,72
2025-02-23,71
2025-03-02,75
2025-03-09,74
2025-03-16,72
2025-03-23,76
2025-03-30,74
2025-04-06,79
